Freq.	V(V1,V2)/I(R2)
Step Information: R=4K  (Run: 1/9)
3.60000000000000e+004	(7.87666253238729e+001dB,9.12306143657654e+001°)
3.60140140140140e+004	(7.87571450873512e+001dB,9.12383479305325e+001°)
3.60280280280280e+004	(7.87476284883532e+001dB,9.12461544265569e+001°)
3.60420420420420e+004	(7.87380751791931e+001dB,9.12540347749195e+001°)
3.60560560560561e+004	(7.87284848079505e+001dB,9.12619899113022e+001°)
3.60700700700701e+004	(7.87188570184052e+001dB,9.12700207862602e+001°)
3.60840840840841e+004	(7.87091914499729e+001dB,9.12781283655148e+001°)
3.60980980980981e+004	(7.86994877376374e+001dB,9.12863136302410e+001°)
3.61121121121121e+004	(7.86897455118834e+001dB,9.12945775773634e+001°)
3.61261261261261e+004	(7.86799643986271e+001dB,9.13029212198658e+001°)
3.61401401401401e+004	(7.86701440191459e+001dB,9.13113455870991e+001°)
3.61541541541542e+004	(7.86602839900063e+001dB,9.13198517250980e+001°)
3.61681681681682e+004	(7.86503839229915e+001dB,9.13284406969148e+001°)
3.61821821821822e+004	(7.86404434250267e+001dB,9.13371135829429e+001°)
3.61961961961962e+004	(7.86304620981034e+001dB,9.13458714812644e+001°)
3.62102102102102e+004	(7.86204395392022e+001dB,9.13547155079961e+001°)
3.62242242242242e+004	(7.86103753402144e+001dB,9.13636467976498e+001°)
3.62382382382382e+004	(7.86002690878618e+001dB,9.13726665034892e+001°)
3.62522522522522e+004	(7.85901203636151e+001dB,9.13817757979148e+001°)
3.62662662662663e+004	(7.85799287436113e+001dB,9.13909758728370e+001°)
3.62802802802803e+004	(7.85696937985684e+001dB,9.14002679400723e+001°)
3.62942942942943e+004	(7.85594150936996e+001dB,9.14096532317392e+001°)
3.63083083083083e+004	(7.85490921886255e+001dB,9.14191330006762e+001°)
3.63223223223223e+004	(7.85387246372842e+001dB,9.14287085208512e+001°)
3.63363363363363e+004	(7.85283119878405e+001dB,9.14383810878002e+001°)
3.63503503503503e+004	(7.85178537825929e+001dB,9.14481520190588e+001°)
3.63643643643644e+004	(7.85073495578784e+001dB,9.14580226546206e+001°)
3.63783783783784e+004	(7.84967988439766e+001dB,9.14679943573908e+001°)
3.63923923923924e+004	(7.84862011650109e+001dB,9.14780685136650e+001°)
3.64064064064064e+004	(7.84755560388481e+001dB,9.14882465336044e+001°)
3.64204204204204e+004	(7.84648629769967e+001dB,9.14985298517423e+001°)
