Freq.	V(V1,V2)/I(R2)
Step Information: Cs=200p  (Run: 1/21)
3.60000000000000e+004	(8.31303428847215e+001dB,9.31583068375812e+001°)
3.60140140140140e+004	(8.31172303827815e+001dB,9.31765025651361e+001°)
3.60280280280280e+004	(8.31040653884462e+001dB,9.31948562028373e+001°)
3.60420420420420e+004	(8.30908474615869e+001dB,9.32133695927796e+001°)
3.60560560560561e+004	(8.30775761573840e+001dB,9.32320446040978e+001°)
3.60700700700701e+004	(8.30642510262660e+001dB,9.32508831334391e+001°)
3.60840840840841e+004	(8.30508716138475e+001dB,9.32698871054535e+001°)
3.60980980980981e+004	(8.30374374608667e+001dB,9.32890584732906e+001°)
3.61121121121121e+004	(8.30239481031221e+001dB,9.33083992191119e+001°)
3.61261261261261e+004	(8.30104030714074e+001dB,9.33279113546077e+001°)
3.61401401401401e+004	(8.29968018914466e+001dB,9.33475969215286e+001°)
3.61541541541542e+004	(8.29831440838271e+001dB,9.33674579922258e+001°)
3.61681681681682e+004	(8.29694291639327e+001dB,9.33874966702085e+001°)
3.61821821821822e+004	(8.29556566418744e+001dB,9.34077150907010e+001°)
3.61961961961962e+004	(8.29418260224220e+001dB,9.34281154212267e+001°)
3.62102102102102e+004	(8.29279368049327e+001dB,9.34486998621951e+001°)
3.62242242242242e+004	(8.29139884832798e+001dB,9.34694706474999e+001°)
3.62382382382382e+004	(8.28999805457805e+001dB,9.34904300451382e+001°)
3.62522522522522e+004	(8.28859124751214e+001dB,9.35115803578351e+001°)
3.62662662662663e+004	(8.28717837482845e+001dB,9.35329239236861e+001°)
3.62802802802803e+004	(8.28575938364706e+001dB,9.35544631168118e+001°)
3.62942942942943e+004	(8.28433422050230e+001dB,9.35762003480295e+001°)
3.63083083083083e+004	(8.28290283133482e+001dB,9.35981380655301e+001°)
3.63223223223223e+004	(8.28146516148376e+001dB,9.36202787555841e+001°)
3.63363363363363e+004	(8.28002115567865e+001dB,9.36426249432542e+001°)
3.63503503503503e+004	(8.27857075803118e+001dB,9.36651791931186e+001°)
3.63643643643644e+004	(8.27711391202701e+001dB,9.36879441100254e+001°)
3.63783783783784e+004	(8.27565056051726e+001dB,9.37109223398500e+001°)
3.63923923923924e+004	(8.27418064570996e+001dB,9.37341165702730e+001°)
3.64064064064064e+004	(8.27270410916144e+001dB,9.37575295315797e+001°)
3.64204204204204e+004	(8.27122089176744e+001dB,9.37811639974716e+001°)
3.64344344344344e+004	(8.26973093375423e+001dB,9.38050227858999e+001°)
3.64484484484484e+004	(8.26823417466950e+001dB,9.38291087599146e+001°)
3.64624624624625e+004	(8.26673055337314e+001dB,9.38534248285362e+001°)
3.64764764764765e+004	(8.26522000802797e+001dB,9.38779739476461e+001°)
3.64904904904905e+004	(8.26370247609015e+001dB,9.39027591208921e+001°)
3.65045045045045e+004	(8.26217789429960e+001dB,9.39277834006220e+001°)
3.65185185185185e+004	(8.26064619867025e+001dB,9.39530498888356e+001°)
3.65325325325325e+004	(8.25910732448008e+001dB,9.39785617381549e+001°)
3.65465465465465e+004	(8.25756120626105e+001dB,9.40043221528222e+001°)
3.65605605605606e+004	(8.25600777778894e+001dB,9.40303343897170e+001°)
3.65745745745746e+004	(8.25444697207292e+001dB,9.40566017593984e+001°)
3.65885885885886e+004	(8.25287872134505e+001dB,9.40831276271694e+001°)
3.66026026026026e+004	(8.25130295704963e+001dB,9.41099154141723e+001°)
3.66166166166166e+004	(8.24971960983228e+001dB,9.41369685984957e+001°)
3.66306306306306e+004	(8.24812860952905e+001dB,9.41642907163278e+001°)
3.66446446446446e+004	(8.24652988515520e+001dB,9.41918853631172e+001°)
3.66586586586586e+004	(8.24492336489386e+001dB,9.42197561947706e+001°)
3.66726726726727e+004	(8.24330897608459e+001dB,9.42479069288778e+001°)
3.66866866866867e+004	(8.24168664521168e+001dB,9.42763413459677e+001°)
3.67007007007007e+004	(8.24005629789231e+001dB,9.43050632907852e+001°)
3.67147147147147e+004	(8.23841785886462e+001dB,9.43340766736139e+001°)
3.67287287287287e+004	(8.23677125197542e+001dB,9.43633854716073e+001°)
3.67427427427427e+004	(8.23511640016796e+001dB,9.43929937301856e+001°)
3.67567567567567e+004	(8.23345322546924e+001dB,9.44229055644266e+001°)
3.67707707707708e+004	(8.23178164897747e+001dB,9.44531251605215e+001°)
3.67847847847848e+004	(8.23010159084901e+001dB,9.44836567772506e+001°)
3.67987987987988e+004	(8.22841297028539e+001dB,9.45145047474981e+001°)
3.68128128128128e+004	(8.22671570551999e+001dB,9.45456734798076e+001°)
3.68268268268268e+004	(8.22500971380459e+001dB,9.45771674599670e+001°)
3.68408408408408e+004	(8.22329491139572e+001dB,9.46089912526402e+001°)
3.68548548548548e+004	(8.22157121354079e+001dB,9.46411495030353e+001°)
3.68688688688689e+004	(8.21983853446408e+001dB,9.46736469386169e+001°)
3.68828828828829e+004	(8.21809678735250e+001dB,9.47064883708564e+001°)
3.68968968968969e+004	(8.21634588434110e+001dB,9.47396786970264e+001°)
3.69109109109109e+004	(8.21458573649852e+001dB,9.47732229020455e+001°)
3.69249249249249e+004	(8.21281625381208e+001dB,9.48071260603629e+001°)
3.69389389389389e+004	(8.21103734517278e+001dB,9.48413933378915e+001°)
3.69529529529529e+004	(8.20924891836001e+001dB,9.48760299939930e+001°)
3.69669669669670e+004	(8.20745088002616e+001dB,9.49110413835089e+001°)
3.69809809809810e+004	(8.20564313568091e+001dB,9.49464329588469e+001°)
3.69949949949950e+004	(8.20382558967537e+001dB,9.49822102721122e+001°)
3.70090090090090e+004	(8.20199814518604e+001dB,9.50183789773091e+001°)
3.70230230230230e+004	(8.20016070419848e+001dB,9.50549448325823e+001°)
3.70370370370370e+004	(8.19831316749082e+001dB,9.50919137025205e+001°)
3.70510510510510e+004	(8.19645543461710e+001dB,9.51292915605311e+001°)
3.70650650650651e+004	(8.19458740389026e+001dB,9.51670844912531e+001°)
3.70790790790791e+004	(8.19270897236509e+001dB,9.52052986930569e+001°)
3.70930930930931e+004	(8.19082003582084e+001dB,9.52439404805949e+001°)
3.71071071071071e+004	(8.18892048874368e+001dB,9.52830162874185e+001°)
3.71211211211211e+004	(8.18701022430893e+001dB,9.53225326686726e+001°)
3.71351351351351e+004	(8.18508913436307e+001dB,9.53624963038521e+001°)
3.71491491491491e+004	(8.18315710940556e+001dB,9.54029139996365e+001°)
3.71631631631631e+004	(8.18121403857046e+001dB,9.54437926927949e+001°)
3.71771771771772e+004	(8.17925980960778e+001dB,9.54851394531750e+001°)
3.71911911911912e+004	(8.17729430886470e+001dB,9.55269614867618e+001°)
3.72052052052052e+004	(8.17531742126654e+001dB,9.55692661388305e+001°)
3.72192192192192e+004	(8.17332903029754e+001dB,9.56120608971713e+001°)
3.72332332332332e+004	(8.17132901798148e+001dB,9.56553533954105e+001°)
3.72472472472472e+004	(8.16931726486201e+001dB,9.56991514164179e+001°)
3.72612612612612e+004	(8.16729364998290e+001dB,9.57434628958038e+001°)
3.72752752752753e+004	(8.16525805086799e+001dB,9.57882959255182e+001°)
3.72892892892893e+004	(8.16321034350108e+001dB,9.58336587575383e+001°)
3.73033033033033e+004	(8.16115040230554e+001dB,9.58795598076663e+001°)
3.73173173173173e+004	(8.15907810012377e+001dB,9.59260076594256e+001°)
3.73313313313313e+004	(8.15699330819656e+001dB,9.59730110680718e+001°)
3.73453453453453e+004	(8.15489589614217e+001dB,9.60205789646962e+001°)
3.73593593593593e+004	(8.15278573193541e+001dB,9.60687204604773e+001°)
3.73733733733734e+004	(8.15066268188641e+001dB,9.61174448510058e+001°)
3.73873873873874e+004	(8.14852661061937e+001dB,9.61667616207686e+001°)
3.74014014014014e+004	(8.14637738105123e+001dB,9.62166804477484e+001°)
3.74154154154154e+004	(8.14421485437000e+001dB,9.62672112081334e+001°)
3.74294294294294e+004	(8.14203889001326e+001dB,9.63183639811848e+001°)
3.74434434434434e+004	(8.13984934564643e+001dB,9.63701490542334e+001°)
3.74574574574574e+004	(8.13764607714096e+001dB,9.64225769278132e+001°)
3.74714714714715e+004	(8.13542893855246e+001dB,9.64756583209424e+001°)
3.74854854854855e+004	(8.13319778209887e+001dB,9.65294041765669e+001°)
3.74994994994995e+004	(8.13095245813855e+001dB,9.65838256671465e+001°)
3.75135135135135e+004	(8.12869281514824e+001dB,9.66389342004018e+001°)
3.75275275275275e+004	(8.12641869970129e+001dB,9.66947414252415e+001°)
3.75415415415415e+004	(8.12412995644569e+001dB,9.67512592378463e+001°)
3.75555555555555e+004	(8.12182642808228e+001dB,9.68084997879382e+001°)
3.75695695695695e+004	(8.11950795534300e+001dB,9.68664754852256e+001°)
3.75835835835836e+004	(8.11717437696927e+001dB,9.69251990060499e+001°)
3.75975975975976e+004	(8.11482552969048e+001dB,9.69846833002081e+001°)
3.76116116116116e+004	(8.11246124820266e+001dB,9.70449415979961e+001°)
3.76256256256256e+004	(8.11008136514740e+001dB,9.71059874174459e+001°)
3.76396396396396e+004	(8.10768571109090e+001dB,9.71678345717845e+001°)
3.76536536536536e+004	(8.10527411450341e+001dB,9.72304971771128e+001°)
3.76676676676676e+004	(8.10284640173892e+001dB,9.72939896603128e+001°)
3.76816816816817e+004	(8.10040239701522e+001dB,9.73583267671927e+001°)
3.76956956956957e+004	(8.09794192239439e+001dB,9.74235235708772e+001°)
3.77097097097097e+004	(8.09546479776371e+001dB,9.74895954804457e+001°)
3.77237237237237e+004	(8.09297084081711e+001dB,9.75565582498400e+001°)
3.77377377377377e+004	(8.09045986703717e+001dB,9.76244279870306e+001°)
3.77517517517517e+004	(8.08793168967777e+001dB,9.76932211634752e+001°)
3.77657657657657e+004	(8.08538611974740e+001dB,9.77629546238560e+001°)
3.77797797797798e+004	(8.08282296599322e+001dB,9.78336455961100e+001°)
3.77937937937938e+004	(8.08024203488606e+001dB,9.79053117017883e+001°)
3.78078078078078e+004	(8.07764313060611e+001dB,9.79779709666993e+001°)
3.78218218218218e+004	(8.07502605502988e+001dB,9.80516418319183e+001°)
3.78358358358358e+004	(8.07239060771807e+001dB,9.81263431651127e+001°)
3.78498498498498e+004	(8.06973658590466e+001dB,9.82020942722236e+001°)
3.78638638638638e+004	(8.06706378448727e+001dB,9.82789149095140e+001°)
3.78778778778779e+004	(8.06437199601896e+001dB,9.83568252959915e+001°)
3.78918918918919e+004	(8.06166101070148e+001dB,9.84358461262139e+001°)
3.79059059059059e+004	(8.05893061638017e+001dB,9.85159985835096e+001°)
3.79199199199199e+004	(8.05618059854062e+001dB,9.85973043535934e+001°)
3.79339339339339e+004	(8.05341074030727e+001dB,9.86797856386357e+001°)
3.79479479479479e+004	(8.05062082244394e+001dB,9.87634651717520e+001°)
3.79619619619619e+004	(8.04781062335669e+001dB,9.88483662319634e+001°)
3.79759759759759e+004	(8.04497991909894e+001dB,9.89345126596315e+001°)
3.79899899899900e+004	(8.04212848337929e+001dB,9.90219288723866e+001°)
3.80040040040040e+004	(8.03925608757189e+001dB,9.91106398815480e+001°)
3.80180180180180e+004	(8.03636250072987e+001dB,9.92006713090880e+001°)
3.80320320320320e+004	(8.03344748960193e+001dB,9.92920494051260e+001°)
3.80460460460460e+004	(8.03051081865231e+001dB,9.93848010659918e+001°)
3.80600600600600e+004	(8.02755225008430e+001dB,9.94789538528565e+001°)
3.80740740740740e+004	(8.02457154386780e+001dB,9.95745360109788e+001°)
3.80880880880881e+004	(8.02156845777078e+001dB,9.96715764895439e+001°)
3.81021021021021e+004	(8.01854274739568e+001dB,9.97701049621922e+001°)
3.81161161161161e+004	(8.01549416621995e+001dB,9.98701518481456e+001°)
3.81301301301301e+004	(8.01242246564224e+001dB,9.99717483340743e+001°)
3.81441441441441e+004	(8.00932739503371e+001dB,1.00074926396635e+002°)
3.81581581581581e+004	(8.00620870179538e+001dB,1.00179718825760e+002°)
3.81721721721721e+004	(8.00306613142153e+001dB,1.00286159248683e+002°)
3.81861861861862e+004	(7.99989942756996e+001dB,1.00394282154774e+002°)
3.82002002002002e+004	(7.99670833213913e+001dB,1.00504122921136e+002°)
3.82142142142142e+004	(7.99349258535315e+001dB,1.00615717839081e+002°)
3.82282282282282e+004	(7.99025192585468e+001dB,1.00729104141434e+002°)
3.82422422422422e+004	(7.98698609080653e+001dB,1.00844320030729e+002°)
3.82562562562562e+004	(7.98369481600257e+001dB,1.00961404708334e+002°)
3.82702702702702e+004	(7.98037783598837e+001dB,1.01080398404502e+002°)
3.82842842842843e+004	(7.97703488419240e+001dB,1.01201342409411e+002°)
3.82982982982983e+004	(7.97366569306852e+001dB,1.01324279105206e+002°)
3.83123123123123e+004	(7.97026999425014e+001dB,1.01449251999064e+002°)
3.83263263263263e+004	(7.96684751871745e+001dB,1.01576305757352e+002°)
3.83403403403403e+004	(7.96339799697800e+001dB,1.01705486240866e+002°)
3.83543543543543e+004	(7.95992115926177e+001dB,1.01836840541206e+002°)
3.83683683683683e+004	(7.95641673573169e+001dB,1.01970417018326e+002°)
3.83823823823823e+004	(7.95288445671054e+001dB,1.02106265339273e+002°)
3.83963963963964e+004	(7.94932405292544e+001dB,1.02244436518178e+002°)
3.84104104104104e+004	(7.94573525577074e+001dB,1.02384982957492e+002°)
3.84244244244244e+004	(7.94211779759097e+001dB,1.02527958490547e+002°)
3.84384384384384e+004	(7.93847141198483e+001dB,1.02673418425441e+002°)
3.84524524524524e+004	(7.93479583413167e+001dB,1.02821419590308e+002°)
3.84664664664664e+004	(7.93109080114191e+001dB,1.02972020379981e+002°)
3.84804804804804e+004	(7.92735605243293e+001dB,1.03125280804101e+002°)
3.84944944944945e+004	(7.92359133013219e+001dB,1.03281262536707e+002°)
3.85085085085085e+004	(7.91979637950915e+001dB,1.03440028967322e+002°)
3.85225225225225e+004	(7.91597094943788e+001dB,1.03601645253585e+002°)
3.85365365365365e+004	(7.91211479289253e+001dB,1.03766178375440e+002°)
3.85505505505505e+004	(7.90822766747734e+001dB,1.03933697190928e+002°)
3.85645645645645e+004	(7.90430933599394e+001dB,1.04104272493609e+002°)
3.85785785785785e+004	(7.90035956704778e+001dB,1.04277977071613e+002°)
3.85925925925926e+004	(7.89637813569653e+001dB,1.04454885768376e+002°)
3.86066066066066e+004	(7.89236482414300e+001dB,1.04635075545046e+002°)
3.86206206206206e+004	(7.88831942247526e+001dB,1.04818625544604e+002°)
3.86346346346346e+004	(7.88424172945728e+001dB,1.05005617157691e+002°)
3.86486486486486e+004	(7.88013155337278e+001dB,1.05196134090143e+002°)
3.86626626626626e+004	(7.87598871292612e+001dB,1.05390262432248e+002°)
3.86766766766766e+004	(7.87181303820332e+001dB,1.05588090729705e+002°)
3.86906906906907e+004	(7.86760437169735e+001dB,1.05789710056277e+002°)
3.87047047047047e+004	(7.86336256940142e+001dB,1.05995214088110e+002°)
3.87187187187187e+004	(7.85908750197472e+001dB,1.06204699179701e+002°)
3.87327327327327e+004	(7.85477905598437e+001dB,1.06418264441419e+002°)
3.87467467467467e+004	(7.85043713522957e+001dB,1.06636011818619e+002°)
3.87607607607607e+004	(7.84606166215113e+001dB,1.06858046172151e+002°)
3.87747747747747e+004	(7.84165257933360e+001dB,1.07084475360334e+002°)
3.87887887887887e+004	(7.83720985110359e+001dB,1.07315410322126e+002°)
3.88028028028028e+004	(7.83273346523137e+001dB,1.07550965161508e+002°)
3.88168168168168e+004	(7.82822343474160e+001dB,1.07791257232877e+002°)
3.88308308308308e+004	(7.82367979983869e+001dB,1.08036407227251e+002°)
3.88448448448448e+004	(7.81910262995513e+001dB,1.08286539259197e+002°)
3.88588588588588e+004	(7.81449202592822e+001dB,1.08541780954150e+002°)
3.88728728728728e+004	(7.80984812231363e+001dB,1.08802263535946e+002°)
3.88868868868868e+004	(7.80517108984298e+001dB,1.09068121914248e+002°)
3.89009009009009e+004	(7.80046113803368e+001dB,1.09339494771552e+002°)
3.89149149149149e+004	(7.79571851795927e+001dB,1.09616524649404e+002°)
3.89289289289289e+004	(7.79094352518904e+001dB,1.09899358033407e+002°)
3.89429429429429e+004	(7.78613650290600e+001dB,1.10188145436564e+002°)
3.89569569569569e+004	(7.78129784521190e+001dB,1.10483041480403e+002°)
3.89709709709709e+004	(7.77642800063013e+001dB,1.10784204973361e+002°)
3.89849849849849e+004	(7.77152747581485e+001dB,1.11091798985693e+002°)
3.89989989989990e+004	(7.76659683947774e+001dB,1.11405990920274e+002°)
3.90130130130130e+004	(7.76163672654136e+001dB,1.11726952578382e+002°)
3.90270270270270e+004	(7.75664784253068e+001dB,1.12054860219671e+002°)
3.90410410410410e+004	(7.75163096821251e+001dB,1.12389894615290e+002°)
3.90550550550550e+004	(7.74658696449330e+001dB,1.12732241093064e+002°)
3.90690690690690e+004	(7.74151677758598e+001dB,1.13082089573556e+002°)
3.90830830830830e+004	(7.73642144445606e+001dB,1.13439634595704e+002°)
3.90970970970971e+004	(7.73130209855558e+001dB,1.13805075330495e+002°)
3.91111111111111e+004	(7.72615997585683e+001dB,1.14178615581284e+002°)
3.91251251251251e+004	(7.72099642119171e+001dB,1.14560463768804e+002°)
3.91391391391391e+004	(7.71581289490674e+001dB,1.14950832899172e+002°)
3.91531531531531e+004	(7.71061097983968e+001dB,1.15349940512737e+002°)
