Freq.	V(V1,V2)/I(R2)
Step Information: V=10p  (Run: 1/9)
3.60000000000000e+004	(7.98007800185739e+001dB,9.04971976718684e+001°)
3.60140140140140e+004	(7.97940903405724e+001dB,9.05004986574884e+001°)
3.60280280280280e+004	(7.97873802226693e+001dB,9.05038324862424e+001°)
3.60420420420420e+004	(7.97806494504090e+001dB,9.05071995950058e+001°)
3.60560560560561e+004	(7.97738978065500e+001dB,9.05106004279381e+001°)
3.60700700700701e+004	(7.97671250710202e+001dB,9.05140354366257e+001°)
3.60840840840841e+004	(7.97603310208700e+001dB,9.05175050802337e+001°)
3.60980980980981e+004	(7.97535154302250e+001dB,9.05210098256553e+001°)
3.61121121121121e+004	(7.97466780702389e+001dB,9.05245501476747e+001°)
3.61261261261261e+004	(7.97398187090433e+001dB,9.05281265291198e+001°)
3.61401401401401e+004	(7.97329371116985e+001dB,9.05317394610312e+001°)
3.61541541541542e+004	(7.97260330401420e+001dB,9.05353894428293e+001°)
3.61681681681682e+004	(7.97191062531370e+001dB,9.05390769824861e+001°)
3.61821821821822e+004	(7.97121565062189e+001dB,9.05428025966993e+001°)
3.61961961961962e+004	(7.97051835516414e+001dB,9.05465668110772e+001°)
3.62102102102102e+004	(7.96981871383214e+001dB,9.05503701603188e+001°)
3.62242242242242e+004	(7.96911670117825e+001dB,9.05542131884050e+001°)
3.62382382382382e+004	(7.96841229140979e+001dB,9.05580964487953e+001°)
3.62522522522522e+004	(7.96770545838315e+001dB,9.05620205046196e+001°)
3.62662662662663e+004	(7.96699617559783e+001dB,9.05659859288874e+001°)
3.62802802802803e+004	(7.96628441619032e+001dB,9.05699933046955e+001°)
3.62942942942943e+004	(7.96557015292790e+001dB,9.05740432254378e+001°)
3.63083083083083e+004	(7.96485335820230e+001dB,9.05781362950297e+001°)
3.63223223223223e+004	(7.96413400402317e+001dB,9.05822731281270e+001°)
3.63363363363363e+004	(7.96341206201151e+001dB,9.05864543503606e+001°)
3.63503503503503e+004	(7.96268750339290e+001dB,9.05906805985680e+001°)
3.63643643643644e+004	(7.96196029899061e+001dB,9.05949525210377e+001°)
3.63783783783784e+004	(7.96123041921856e+001dB,9.05992707777559e+001°)
3.63923923923924e+004	(7.96049783407415e+001dB,9.06036360406616e+001°)
3.64064064064064e+004	(7.95976251313091e+001dB,9.06080489939027e+001°)
3.64204204204204e+004	(7.95902442553101e+001dB,9.06125103341101e+001°)
3.64344344344344e+004	(7.95828353997765e+001dB,9.06170207706648e+001°)
3.64484484484484e+004	(7.95753982472721e+001dB,9.06215810259825e+001°)
3.64624624624625e+004	(7.95679324758130e+001dB,9.06261918358007e+001°)
3.64764764764765e+004	(7.95604377587862e+001dB,9.06308539494747e+001°)
3.64904904904905e+004	(7.95529137648660e+001dB,9.06355681302803e+001°)
3.65045045045045e+004	(7.95453601579299e+001dB,9.06403351557245e+001°)
3.65185185185185e+004	(7.95377765969710e+001dB,9.06451558178658e+001°)
3.65325325325325e+004	(7.95301627360096e+001dB,9.06500309236407e+001°)
3.65465465465465e+004	(7.95225182240029e+001dB,9.06549612952037e+001°)
3.65605605605606e+004	(7.95148427047520e+001dB,9.06599477702636e+001°)
3.65745745745746e+004	(7.95071358168077e+001dB,9.06649912024502e+001°)
3.65885885885886e+004	(7.94993971933736e+001dB,9.06700924616643e+001°)
3.66026026026026e+004	(7.94916264622077e+001dB,9.06752524344641e+001°)
3.66166166166166e+004	(7.94838232455210e+001dB,9.06804720244404e+001°)
3.66306306306306e+004	(7.94759871598746e+001dB,9.06857521526127e+001°)
3.66446446446446e+004	(7.94681178160743e+001dB,9.06910937578330e+001°)
3.66586586586586e+004	(7.94602148190625e+001dB,9.06964977972043e+001°)
3.66726726726727e+004	(7.94522777678084e+001dB,9.07019652465037e+001°)
3.66866866866867e+004	(7.94443062551951e+001dB,9.07074971006216e+001°)
3.67007007007007e+004	(7.94362998679043e+001dB,9.07130943740137e+001°)
3.67147147147147e+004	(7.94282581862984e+001dB,9.07187581011618e+001°)
3.67287287287287e+004	(7.94201807843004e+001dB,9.07244893370517e+001°)
3.67427427427427e+004	(7.94120672292706e+001dB,9.07302891576603e+001°)
3.67567567567567e+004	(7.94039170818799e+001dB,9.07361586604585e+001°)
3.67707707707708e+004	(7.93957298959819e+001dB,9.07420989649302e+001°)
3.67847847847848e+004	(7.93875052184802e+001dB,9.07481112130979e+001°)
3.67987987987988e+004	(7.93792425891938e+001dB,9.07541965700735e+001°)
3.68128128128128e+004	(7.93709415407191e+001dB,9.07603562246219e+001°)
3.68268268268268e+004	(7.93626015982885e+001dB,9.07665913897296e+001°)
3.68408408408408e+004	(7.93542222796259e+001dB,9.07729033032083e+001°)
3.68548548548548e+004	(7.93458030947989e+001dB,9.07792932283010e+001°)
3.68688688688689e+004	(7.93373435460673e+001dB,9.07857624543130e+001°)
3.68828828828829e+004	(7.93288431277280e+001dB,9.07923122972541e+001°)
3.68968968968969e+004	(7.93203013259565e+001dB,9.07989441005126e+001°)
3.69109109109109e+004	(7.93117176186448e+001dB,9.08056592355320e+001°)
3.69249249249249e+004	(7.93030914752347e+001dB,9.08124591025205e+001°)
3.69389389389389e+004	(7.92944223565476e+001dB,9.08193451311761e+001°)
3.69529529529529e+004	(7.92857097146107e+001dB,9.08263187814351e+001°)
3.69669669669670e+004	(7.92769529924778e+001dB,9.08333815442372e+001°)
3.69809809809810e+004	(7.92681516240471e+001dB,9.08405349423223e+001°)
3.69949949949950e+004	(7.92593050338736e+001dB,9.08477805310437e+001°)
3.70090090090090e+004	(7.92504126369775e+001dB,9.08551198992131e+001°)
3.70230230230230e+004	(7.92414738386475e+001dB,9.08625546699584e+001°)
3.70370370370370e+004	(7.92324880342398e+001dB,9.08700865016239e+001°)
3.70510510510510e+004	(7.92234546089716e+001dB,9.08777170886839e+001°)
3.70650650650651e+004	(7.92143729377098e+001dB,9.08854481626906e+001°)
3.70790790790791e+004	(7.92052423847547e+001dB,9.08932814932550e+001°)
3.70930930930931e+004	(7.91960623036178e+001dB,9.09012188890467e+001°)
3.71071071071071e+004	(7.91868320367943e+001dB,9.09092621988373e+001°)
3.71211211211211e+004	(7.91775509155300e+001dB,9.09174133125600e+001°)
3.71351351351351e+004	(7.91682182595822e+001dB,9.09256741624288e+001°)
3.71491491491491e+004	(7.91588333769747e+001dB,9.09340467240607e+001°)
3.71631631631631e+004	(7.91493955637464e+001dB,9.09425330176567e+001°)
3.71771771771772e+004	(7.91399041036936e+001dB,9.09511351092101e+001°)
3.71911911911912e+004	(7.91303582681060e+001dB,9.09598551117570e+001°)
3.72052052052052e+004	(7.91207573154953e+001dB,9.09686951866613e+001°)
3.72192192192192e+004	(7.91111004913175e+001dB,9.09776575449498e+001°)
3.72332332332332e+004	(7.91013870276875e+001dB,9.09867444486818e+001°)
3.72472472472472e+004	(7.90916161430869e+001dB,9.09959582123673e+001°)
3.72612612612612e+004	(7.90817870420634e+001dB,9.10053012044285e+001°)
3.72752752752753e+004	(7.90718989149232e+001dB,9.10147758487113e+001°)
3.72892892892893e+004	(7.90619509374145e+001dB,9.10243846260471e+001°)
3.73033033033033e+004	(7.90519422704039e+001dB,9.10341300758663e+001°)
3.73173173173173e+004	(7.90418720595425e+001dB,9.10440147978572e+001°)
3.73313313313313e+004	(7.90317394349249e+001dB,9.10540414536921e+001°)
3.73453453453453e+004	(7.90215435107382e+001dB,9.10642127688048e+001°)
3.73593593593593e+004	(7.90112833849014e+001dB,9.10745315342219e+001°)
3.73733733733734e+004	(7.90009581386962e+001dB,9.10850006084738e+001°)
3.73873873873874e+004	(7.89905668363867e+001dB,9.10956229195457e+001°)
3.74014014014014e+004	(7.89801085248298e+001dB,9.11064014669166e+001°)
3.74154154154154e+004	(7.89695822330740e+001dB,9.11173393236579e+001°)
3.74294294294294e+004	(7.89589869719486e+001dB,9.11284396386031e+001°)
3.74434434434434e+004	(7.89483217336404e+001dB,9.11397056385977e+001°)
3.74574574574574e+004	(7.89375854912596e+001dB,9.11511406308198e+001°)
3.74714714714715e+004	(7.89267771983937e+001dB,9.11627480051915e+001°)
3.74854854854855e+004	(7.89158957886487e+001dB,9.11745312368676e+001°)
3.74994994994995e+004	(7.89049401751779e+001dB,9.11864938888122e+001°)
3.75135135135135e+004	(7.88939092501975e+001dB,9.11986396144668e+001°)
3.75275275275275e+004	(7.88828018844884e+001dB,9.12109721605185e+001°)
3.75415415415415e+004	(7.88716169268850e+001dB,9.12234953697591e+001°)
